Force,Position,date
483.669,126.11600000000001,Mon Jul 14 2014 07:24:00 GMT-0400 (EDT)
149.573,29.54,Mon Jul 14 2014 08:24:00 GMT-0400 (EDT)
334.773,61.834999999999994,Mon Jul 14 2014 09:24:00 GMT-0400 (EDT)
548.8189999999998,95.91799999999998,Mon Jul 14 2014 10:24:00 GMT-0400 (EDT)
615.885,93.13700000000001,Mon Jul 14 2014 11:24:00 GMT-0400 (EDT)
606.497,122.872,Mon Jul 14 2014 12:24:00 GMT-0400 (EDT)
559.662,147.47400000000002,Mon Jul 14 2014 13:24:00 GMT-0400 (EDT)
576.7360000000001,125.098,Mon Jul 14 2014 14:24:00 GMT-0400 (EDT)
546.1320000000001,145.786,Mon Jul 14 2014 15:24:00 GMT-0400 (EDT)
251.552,54.688,Mon Jul 14 2014 16:24:00 GMT-0400 (EDT)
630.1069999999999,133.059,Mon Jul 14 2014 17:24:00 GMT-0400 (EDT)
626.9110000000001,143.478,Mon Jul 14 2014 18:24:00 GMT-0400 (EDT)
582.7,154.84,Mon Jul 14 2014 19:24:00 GMT-0400 (EDT)
669.1829999999999,160.57299999999998,Mon Jul 14 2014 20:24:00 GMT-0400 (EDT)
242.552,55.18499999999999,Mon Jul 14 2014 21:24:00 GMT-0400 (EDT)
649.0330000000001,160.89000000000001,Mon Jul 14 2014 22:24:00 GMT-0400 (EDT)
489.941,137.122,Mon Jul 14 2014 23:24:00 GMT-0400 (EDT)
337.79499999999996,99.237,Tue Jul 15 2014 00:24:00 GMT-0400 (EDT)
720.4520000000001,180.05800000000002,Tue Jul 15 2014 01:24:00 GMT-0400 (EDT)
646.2149999999999,148.42,Tue Jul 15 2014 02:24:00 GMT-0400 (EDT)
279.63700000000006,67.834,Tue Jul 15 2014 03:24:00 GMT-0400 (EDT)
260.074,62.927,Tue Jul 15 2014 04:24:00 GMT-0400 (EDT)
678.901,190.18900000000002,Tue Jul 15 2014 05:24:00 GMT-0400 (EDT)
263.581,80.755,Tue Jul 15 2014 06:24:00 GMT-0400 (EDT)
767.0559999999999,173.36899999999997,Tue Jul 15 2014 07:24:00 GMT-0400 (EDT)
633.88,186.91199999999998,Tue Jul 15 2014 08:24:00 GMT-0400 (EDT)
662.9620000000001,207.908,Tue Jul 15 2014 09:24:00 GMT-0400 (EDT)
689.9929999999999,212.465,Tue Jul 15 2014 10:24:00 GMT-0400 (EDT)
707.609,239.21300000000002,Tue Jul 15 2014 11:24:00 GMT-0400 (EDT)
687.1479999999999,214.50899999999996,Tue Jul 15 2014 12:24:00 GMT-0400 (EDT)
