Force,Position,date
85.75699999999999,40.163,Mon Jul 14 2014 07:24:00 GMT-0400 (EDT)
314.076,137.14799999999997,Mon Jul 14 2014 08:24:00 GMT-0400 (EDT)
37.058,18.756999999999998,Mon Jul 14 2014 09:24:00 GMT-0400 (EDT)
39.545,24.107,Mon Jul 14 2014 10:24:00 GMT-0400 (EDT)
177.60399999999998,66.013,Mon Jul 14 2014 11:24:00 GMT-0400 (EDT)
75.12,50.524,Mon Jul 14 2014 12:24:00 GMT-0400 (EDT)
143.793,71.05499999999999,Mon Jul 14 2014 13:24:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 14:24:00 GMT-0400 (EDT)
154.628,73.476,Mon Jul 14 2014 15:24:00 GMT-0400 (EDT)
42.071,24.547,Mon Jul 14 2014 16:24:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 17:24:00 GMT-0400 (EDT)
470.5849999999999,216.63599999999997,Mon Jul 14 2014 18:24:00 GMT-0400 (EDT)
43.506,26.924,Mon Jul 14 2014 19:24:00 GMT-0400 (EDT)
104.97999999999999,58.199,Mon Jul 14 2014 20:24:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 21:24:00 GMT-0400 (EDT)
113.96200000000002,52.69,Mon Jul 14 2014 22:24:00 GMT-0400 (EDT)
270.551,129.632,Mon Jul 14 2014 23:24:00 GMT-0400 (EDT)
45.282,32.832,Tue Jul 15 2014 00:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 01:24:00 GMT-0400 (EDT)
226.002,130.24099999999999,Tue Jul 15 2014 02:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 03:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 04:24:00 GMT-0400 (EDT)
234.586,130.048,Tue Jul 15 2014 05:24:00 GMT-0400 (EDT)
52.295,37.114,Tue Jul 15 2014 06:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 07:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 08:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 09:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 10:24:00 GMT-0400 (EDT)
52.315,30.311,Tue Jul 15 2014 11:24:00 GMT-0400 (EDT)
176.297,112.155,Tue Jul 15 2014 12:24:00 GMT-0400 (EDT)
114.444,68.649,Tue Jul 15 2014 13:24:00 GMT-0400 (EDT)
266.913,159.67299999999997,Tue Jul 15 2014 14:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 15:24:00 GMT-0400 (EDT)
159.525,79.852,Tue Jul 15 2014 16:24:00 GMT-0400 (EDT)
414.491,239.711,Tue Jul 15 2014 17:24:00 GMT-0400 (EDT)
120.37100000000001,83.88,Tue Jul 15 2014 18:24:00 GMT-0400 (EDT)
203.822,124.479,Tue Jul 15 2014 19:24:00 GMT-0400 (EDT)
55.015,41.745999999999995,Tue Jul 15 2014 20:24:00 GMT-0400 (EDT)
348.188,215.69099999999997,Tue Jul 15 2014 21:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 22:24:00 GMT-0400 (EDT)
206.436,128.33499999999998,Tue Jul 15 2014 23:24:00 GMT-0400 (EDT)
58.754999999999995,35.921,Wed Jul 16 2014 00:24:00 GMT-0400 (EDT)
57.727999999999994,47.262,Wed Jul 16 2014 01:24:00 GMT-0400 (EDT)
284.35,177.461,Wed Jul 16 2014 02:24:00 GMT-0400 (EDT)
57.686,38.823,Wed Jul 16 2014 03:24:00 GMT-0400 (EDT)
78.64500000000001,47.369,Wed Jul 16 2014 04:24:00 GMT-0400 (EDT)
187.135,144.136,Wed Jul 16 2014 05:24:00 GMT-0400 (EDT)
384.994,224.848,Wed Jul 16 2014 06:24:00 GMT-0400 (EDT)
436.936,294.22999999999996,Wed Jul 16 2014 07:24:00 GMT-0400 (EDT)
