Force,Position,date
237.42,340.87,Thu Aug 14 2014 15:36:00 GMT-0400 (EDT)
185.09,481.08,Thu Aug 14 2014 15:42:00 GMT-0400 (EDT)
108.56,526.55,Thu Aug 14 2014 15:48:00 GMT-0400 (EDT)
346.7,495.24,Thu Aug 14 2014 15:54:00 GMT-0400 (EDT)
0,359.34,Thu Aug 14 2014 16:00:00 GMT-0400 (EDT)
149.5,557.63,Thu Aug 14 2014 16:06:00 GMT-0400 (EDT)
264.81,304.74,Thu Aug 14 2014 16:12:00 GMT-0400 (EDT)
251.79,385.46,Thu Aug 14 2014 16:18:00 GMT-0400 (EDT)
197.43,471.76,Thu Aug 14 2014 16:24:00 GMT-0400 (EDT)
253.69,305.18,Thu Aug 14 2014 16:30:00 GMT-0400 (EDT)
0,306.17,Thu Aug 14 2014 16:36:00 GMT-0400 (EDT)
208.21,446.69,Thu Aug 14 2014 16:42:00 GMT-0400 (EDT)
177.4,470.72,Thu Aug 14 2014 16:48:00 GMT-0400 (EDT)
304.01,356.63,Thu Aug 14 2014 16:54:00 GMT-0400 (EDT)
318.86,459.54,Thu Aug 14 2014 17:00:00 GMT-0400 (EDT)
338.36,434.25,Thu Aug 14 2014 17:06:00 GMT-0400 (EDT)
171.67,433.03,Thu Aug 14 2014 17:12:00 GMT-0400 (EDT)
338.11,485.95,Thu Aug 14 2014 17:18:00 GMT-0400 (EDT)
0,395.89,Thu Aug 14 2014 17:24:00 GMT-0400 (EDT)
200.17,458.19,Thu Aug 14 2014 17:30:00 GMT-0400 (EDT)
276.54,375.03,Thu Aug 14 2014 17:36:00 GMT-0400 (EDT)
137.25,319.2,Thu Aug 14 2014 17:42:00 GMT-0400 (EDT)
0,476.02,Thu Aug 14 2014 17:48:00 GMT-0400 (EDT)
127.29,304.31,Thu Aug 14 2014 17:54:00 GMT-0400 (EDT)
0,398.77,Thu Aug 14 2014 18:00:00 GMT-0400 (EDT)
205.4,313.15,Thu Aug 14 2014 18:06:00 GMT-0400 (EDT)
365.09,372.98,Thu Aug 14 2014 18:12:00 GMT-0400 (EDT)
255.7,354.34,Thu Aug 14 2014 18:18:00 GMT-0400 (EDT)
179.67,494.05,Thu Aug 14 2014 18:24:00 GMT-0400 (EDT)
284.59,487.95,Thu Aug 14 2014 18:30:00 GMT-0400 (EDT)
270.46,487.78,Thu Aug 14 2014 18:36:00 GMT-0400 (EDT)
350.31,392.13,Thu Aug 14 2014 18:42:00 GMT-0400 (EDT)
161.92,444.32,Thu Aug 14 2014 18:48:00 GMT-0400 (EDT)
0,395.98,Thu Aug 14 2014 18:54:00 GMT-0400 (EDT)
299.28,554.37,Thu Aug 14 2014 19:00:00 GMT-0400 (EDT)
151.83,417.42,Thu Aug 14 2014 19:06:00 GMT-0400 (EDT)
289.25,326.03,Thu Aug 14 2014 19:12:00 GMT-0400 (EDT)
0,529.94,Thu Aug 14 2014 19:18:00 GMT-0400 (EDT)
0,308.97,Thu Aug 14 2014 19:24:00 GMT-0400 (EDT)
341.77,361.18,Thu Aug 14 2014 19:30:00 GMT-0400 (EDT)
317.63,336.88,Thu Aug 14 2014 19:36:00 GMT-0400 (EDT)
0,379.24,Thu Aug 14 2014 19:42:00 GMT-0400 (EDT)
170.53,365.97,Thu Aug 14 2014 19:48:00 GMT-0400 (EDT)
0,497.01,Thu Aug 14 2014 19:54:00 GMT-0400 (EDT)
352.7,474.67,Thu Aug 14 2014 20:00:00 GMT-0400 (EDT)
0,566.11,Thu Aug 14 2014 20:06:00 GMT-0400 (EDT)
186.46,389.15,Thu Aug 14 2014 20:12:00 GMT-0400 (EDT)
284.27,411.77,Thu Aug 14 2014 20:18:00 GMT-0400 (EDT)
246.3,429.14,Thu Aug 14 2014 20:24:00 GMT-0400 (EDT)
322.02,548.58,Thu Aug 14 2014 20:30:00 GMT-0400 (EDT)
176.26,458.54,Thu Aug 14 2014 20:36:00 GMT-0400 (EDT)
271.87,416.91,Thu Aug 14 2014 20:42:00 GMT-0400 (EDT)
247.1,422.46,Thu Aug 14 2014 20:48:00 GMT-0400 (EDT)
385.41,555.86,Thu Aug 14 2014 20:54:00 GMT-0400 (EDT)
213.71,459.91,Thu Aug 14 2014 21:00:00 GMT-0400 (EDT)
182.8,410.49,Thu Aug 14 2014 21:06:00 GMT-0400 (EDT)
282.28,455.34,Thu Aug 14 2014 21:12:00 GMT-0400 (EDT)
258.75,568.12,Thu Aug 14 2014 21:18:00 GMT-0400 (EDT)
207.48,511.67,Thu Aug 14 2014 21:24:00 GMT-0400 (EDT)
239.41,326.34,Thu Aug 14 2014 21:30:00 GMT-0400 (EDT)
268.37,407.41,Thu Aug 14 2014 21:36:00 GMT-0400 (EDT)
347.67,514.67,Thu Aug 14 2014 21:42:00 GMT-0400 (EDT)
0,358.37,Thu Aug 14 2014 21:48:00 GMT-0400 (EDT)
187.75,397.72,Thu Aug 14 2014 21:54:00 GMT-0400 (EDT)
0,361.51,Thu Aug 14 2014 22:00:00 GMT-0400 (EDT)
320.39,306.06,Thu Aug 14 2014 22:06:00 GMT-0400 (EDT)
337.5,358.87,Thu Aug 14 2014 22:12:00 GMT-0400 (EDT)
178.99,428.56,Thu Aug 14 2014 22:18:00 GMT-0400 (EDT)
221.86,488.29,Thu Aug 14 2014 22:24:00 GMT-0400 (EDT)
227.9,429.5,Thu Aug 14 2014 22:30:00 GMT-0400 (EDT)
190.57,339.89,Thu Aug 14 2014 22:36:00 GMT-0400 (EDT)
328.54,525.46,Thu Aug 14 2014 22:42:00 GMT-0400 (EDT)
296.54,328.93,Thu Aug 14 2014 22:48:00 GMT-0400 (EDT)
290.38,340.08,Thu Aug 14 2014 22:54:00 GMT-0400 (EDT)
394.17,539.26,Thu Aug 14 2014 23:00:00 GMT-0400 (EDT)
0,489.92,Thu Aug 14 2014 23:06:00 GMT-0400 (EDT)
325.29,446.29,Thu Aug 14 2014 23:12:00 GMT-0400 (EDT)
358.41,476.96,Thu Aug 14 2014 23:18:00 GMT-0400 (EDT)
323.9,534.54,Thu Aug 14 2014 23:24:00 GMT-0400 (EDT)
413.3,310.03,Thu Aug 14 2014 23:30:00 GMT-0400 (EDT)
405.01,446.6,Thu Aug 14 2014 23:36:00 GMT-0400 (EDT)
352.56,411.51,Thu Aug 14 2014 23:42:00 GMT-0400 (EDT)
0,326.15,Thu Aug 14 2014 23:48:00 GMT-0400 (EDT)
280.52,504.69,Thu Aug 14 2014 23:54:00 GMT-0400 (EDT)
181.36,519.38,Fri Aug 15 2014 00:00:00 GMT-0400 (EDT)
253.2,500.26,Fri Aug 15 2014 00:06:00 GMT-0400 (EDT)
0,340.59,Fri Aug 15 2014 00:12:00 GMT-0400 (EDT)
402.89,398.15,Fri Aug 15 2014 00:18:00 GMT-0400 (EDT)
320.77,547.46,Fri Aug 15 2014 00:24:00 GMT-0400 (EDT)
423.95,494.26,Fri Aug 15 2014 00:30:00 GMT-0400 (EDT)
403.62,373.96,Fri Aug 15 2014 00:36:00 GMT-0400 (EDT)
292.88,316.76,Fri Aug 15 2014 00:42:00 GMT-0400 (EDT)
0,381.96,Fri Aug 15 2014 00:48:00 GMT-0400 (EDT)
350.35,516.04,Fri Aug 15 2014 00:54:00 GMT-0400 (EDT)
0,430.22,Fri Aug 15 2014 01:00:00 GMT-0400 (EDT)
306.67,568.07,Fri Aug 15 2014 01:06:00 GMT-0400 (EDT)
332.57,332.99,Fri Aug 15 2014 01:12:00 GMT-0400 (EDT)
391.89,315.46,Fri Aug 15 2014 01:18:00 GMT-0400 (EDT)
334.98,479.67,Fri Aug 15 2014 01:24:00 GMT-0400 (EDT)
0,372.73,Fri Aug 15 2014 01:30:00 GMT-0400 (EDT)
249.17,517.87,Fri Aug 15 2014 01:36:00 GMT-0400 (EDT)
405.35,503.54,Fri Aug 15 2014 01:42:00 GMT-0400 (EDT)
365.23,420.82,Fri Aug 15 2014 01:48:00 GMT-0400 (EDT)
329.44,379.04,Fri Aug 15 2014 01:54:00 GMT-0400 (EDT)
342.44,459.23,Fri Aug 15 2014 02:00:00 GMT-0400 (EDT)
379.06,530.76,Fri Aug 15 2014 02:06:00 GMT-0400 (EDT)
239.43,522.25,Fri Aug 15 2014 02:12:00 GMT-0400 (EDT)
232.13,412.94,Fri Aug 15 2014 02:18:00 GMT-0400 (EDT)
249.79,431.06,Fri Aug 15 2014 02:24:00 GMT-0400 (EDT)
386.66,583.28,Fri Aug 15 2014 02:30:00 GMT-0400 (EDT)
291.14,560.74,Fri Aug 15 2014 02:36:00 GMT-0400 (EDT)
207.05,515.28,Fri Aug 15 2014 02:42:00 GMT-0400 (EDT)
288.88,373.83,Fri Aug 15 2014 02:48:00 GMT-0400 (EDT)
423.04,332.88,Fri Aug 15 2014 02:54:00 GMT-0400 (EDT)
332.23,340.15,Fri Aug 15 2014 03:00:00 GMT-0400 (EDT)
397.57,389.52,Fri Aug 15 2014 03:06:00 GMT-0400 (EDT)
266.21,359.33,Fri Aug 15 2014 03:12:00 GMT-0400 (EDT)
0,414.63,Fri Aug 15 2014 03:18:00 GMT-0400 (EDT)
0,498.15,Fri Aug 15 2014 03:24:00 GMT-0400 (EDT)
334.37,343.97,Fri Aug 15 2014 03:30:00 GMT-0400 (EDT)
283.23,559.12,Fri Aug 15 2014 03:36:00 GMT-0400 (EDT)
406.08,446.78,Fri Aug 15 2014 03:42:00 GMT-0400 (EDT)
0,463.35,Fri Aug 15 2014 03:48:00 GMT-0400 (EDT)
355.85,338.76,Fri Aug 15 2014 03:54:00 GMT-0400 (EDT)
278.92,354.19,Fri Aug 15 2014 04:00:00 GMT-0400 (EDT)
0,327.66,Fri Aug 15 2014 04:06:00 GMT-0400 (EDT)
441.71,395.18,Fri Aug 15 2014 04:12:00 GMT-0400 (EDT)
244.14,527.01,Fri Aug 15 2014 04:18:00 GMT-0400 (EDT)
352.57,571.81,Fri Aug 15 2014 04:24:00 GMT-0400 (EDT)
407.78,322.04,Fri Aug 15 2014 04:30:00 GMT-0400 (EDT)
254.79,336.49,Fri Aug 15 2014 04:36:00 GMT-0400 (EDT)
429.52,502.33,Fri Aug 15 2014 04:42:00 GMT-0400 (EDT)
439.99,475.25,Fri Aug 15 2014 04:48:00 GMT-0400 (EDT)
267.1,385.02,Fri Aug 15 2014 04:54:00 GMT-0400 (EDT)
412.4,559.22,Fri Aug 15 2014 05:00:00 GMT-0400 (EDT)
290.09,443.56,Fri Aug 15 2014 05:06:00 GMT-0400 (EDT)
238.26,485.29,Fri Aug 15 2014 05:12:00 GMT-0400 (EDT)
413.98,409,Fri Aug 15 2014 05:18:00 GMT-0400 (EDT)
440.77,359.79,Fri Aug 15 2014 05:24:00 GMT-0400 (EDT)
425.14,571.26,Fri Aug 15 2014 05:30:00 GMT-0400 (EDT)
304.7,577.51,Fri Aug 15 2014 05:36:00 GMT-0400 (EDT)
256.44,588.4,Fri Aug 15 2014 05:42:00 GMT-0400 (EDT)
344.5,384.59,Fri Aug 15 2014 05:48:00 GMT-0400 (EDT)
282.21,424.88,Fri Aug 15 2014 05:54:00 GMT-0400 (EDT)
